time,layout,data
2022/10/11 14:17:34.374176076,"{'dim': [], 'data_offset': 0}","[10.0, 4.0, 31.702396392822266, -3.141592502593994]"
2022/10/11 14:17:34.375521496,"{'dim': [], 'data_offset': 0}","[10.0, 4.0, 33.98719787597656, -3.141592502593994]"
2022/10/11 14:17:34.378393420,"{'dim': [], 'data_offset': 0}","[10.0, 4.0, 36.271995544433594, -3.141592502593994]"
2022/10/11 14:17:34.378849567,"{'dim': [], 'data_offset': 0}","[10.0, 4.0, 38.55679702758789, -3.141592502593994]"
2022/10/11 14:17:34.379329357,"{'dim': [], 'data_offset': 0}","[4.0, 10.0, 38.55679702758789, -1.5707963705062866]"
2022/10/11 14:17:34.380620206,"{'dim': [], 'data_offset': 0}","[4.0, 10.0, 36.271995544433594, -1.5707963705062866]"
2022/10/11 14:17:34.381868652,"{'dim': [], 'data_offset': 0}","[4.0, 10.0, 33.98719787597656, -1.5707963705062866]"
2022/10/11 14:17:34.383262041,"{'dim': [], 'data_offset': 0}","[4.0, 10.0, 31.702396392822266, -1.5707963705062866]"
2022/10/11 14:17:34.384192451,"{'dim': [], 'data_offset': 0}","[4.0, 10.0, 29.4175968170166, -1.5707963705062866]"
2022/10/11 14:17:34.385787764,"{'dim': [], 'data_offset': 0}","[4.0, 10.0, 27.132797241210938, -1.5707963705062866]"
2022/10/11 14:17:34.387144701,"{'dim': [], 'data_offset': 0}","[4.0, 10.0, 24.847997665405273, -1.5707963705062866]"
2022/10/11 14:17:34.391099728,"{'dim': [], 'data_offset': 0}","[4.0, 10.0, 22.56319808959961, -1.5707963705062866]"
2022/10/11 14:17:34.391664203,"{'dim': [], 'data_offset': 0}","[4.0, 10.0, 20.278398513793945, -1.5707963705062866]"
2022/10/11 14:17:34.392858684,"{'dim': [], 'data_offset': 0}","[4.0, 10.0, 17.99359893798828, -1.5707963705062866]"
2022/10/11 14:17:34.393572333,"{'dim': [], 'data_offset': 0}","[4.0, 10.0, 15.708799362182617, -1.5707963705062866]"
2022/10/11 14:17:34.394930646,"{'dim': [], 'data_offset': 0}","[4.0, 10.0, 13.423999786376953, -1.5707963705062866]"
2022/10/11 14:17:34.395444028,"{'dim': [], 'data_offset': 0}","[4.0, 10.0, 11.139200210571289, -1.5707963705062866]"
2022/10/11 14:17:34.396241743,"{'dim': [], 'data_offset': 0}","[4.0, 10.0, 8.854400634765625, -1.5707963705062866]"
2022/10/11 14:17:34.397315563,"{'dim': [], 'data_offset': 0}","[4.0, 10.0, 6.569601058959961, -1.5707963705062866]"
2022/10/11 14:17:34.398919938,"{'dim': [], 'data_offset': 0}","[4.0, 10.0, 4.284801483154297, -1.5707963705062866]"
2022/10/11 14:17:34.399674903,"{'dim': [], 'data_offset': 0}","[4.0, 10.0, 2.0000014305114746, -1.5707963705062866]"
