x,y,z
-2.41162896156311,-3.773432970047,13.6728820800781
-2.40617179870605,-3.76718497276306,13.6626663208008
-2.40125155448914,-3.76154065132141,13.6694831848145
-2.39359378814697,-3.75685214996338,13.6779012680054
-2.3850793838501,-3.75535535812378,13.6743288040161
-2.37277007102966,-3.75639939308166,13.6649141311646
-2.36605429649353,-3.7553186416626,13.6534900665283
-2.36569786071777,-3.7526490688324,13.6434936523438
-2.36813354492187,-3.74880814552307,13.6336603164673
-2.37373876571655,-3.74623513221741,13.627064704895
-2.38089966773987,-3.74224829673767,13.6302938461304
-2.38561987876892,-3.73888564109802,13.6484651565552
-2.38848972320557,-3.73752665519714,13.661283493042
-2.3950514793396,-3.73711895942688,13.6632833480835
-2.39782547950745,-3.73787379264832,13.6622304916382
-2.40013980865479,-3.73777031898499,13.6653871536255
-2.40399885177612,-3.7357804775238,13.672643661499
-2.40938019752502,-3.73200988769531,13.6800498962402
-2.41947245597839,-3.72529673576355,13.6856851577759
-2.42730450630188,-3.71992349624634,13.6908435821533
-2.43388891220093,-3.71562647819519,13.6949701309204
-2.43830108642578,-3.71317505836487,13.6904458999634
-2.44562435150146,-3.70933532714844,13.6874752044678
-2.44939088821411,-3.71016073226929,13.6937198638916
-2.45518565177917,-3.70945858955383,13.7052974700928
-2.46615481376648,-3.70373129844666,13.7193155288696
-2.47821664810181,-3.69733500480652,13.730167388916
-2.4773576259613,-3.70056343078613,13.734338760376
-2.47179794311523,-3.70558667182922,13.7304830551147
-2.46139192581177,-3.71279263496399,13.7146081924438
-2.44785451889038,-3.71994876861572,13.7030916213989
-2.43815207481384,-3.7225387096405,13.6986484527588
-2.42301273345947,-3.72683691978455,13.6997184753418
-2.40729475021362,-3.73243308067322,13.695707321167
-2.39043760299683,-3.73994398117065,13.6936063766479
-2.37267708778381,-3.7483057975769,13.6897792816162
-2.35762977600098,-3.75397324562073,13.687873840332
-2.34137797355652,-3.76145052909851,13.6815376281738
-2.32644724845886,-3.76658606529236,13.6825828552246
-2.31562066078186,-3.76582789421082,13.6848344802856
-2.30855584144592,-3.7622754573822,13.6917066574097
-2.30400848388672,-3.75923752784729,13.6870803833008
-2.30430960655212,-3.75375914573669,13.6707954406738
-2.30973887443542,-3.74527311325073,13.6548748016357
-2.3169150352478,-3.73514103889465,13.6426639556885
-2.330237865448,-3.7209677696228,13.6379985809326
-2.35083222389221,-3.70444679260254,13.6374073028564
-2.37392282485962,-3.68640065193176,13.6759929656982
-2.39762878417969,-3.67162036895752,13.7268857955933
-2.41641235351562,-3.66400122642517,13.76735496521
-2.42843246459961,-3.6647834777832,13.7945308685303
-2.42863464355469,-3.68292045593262,13.7991666793823
-2.40922427177429,-3.71429252624512,13.7840576171875
-2.36486077308655,-3.74699401855469,13.7668123245239
-2.31012988090515,-3.77209162712097,13.7530384063721
-2.2434675693512,-3.78619146347046,13.741888999939
-2.18042588233948,-3.79196643829346,13.7317810058594
-2.11778354644775,-3.80799198150635,13.7038402557373
