time,header,pose
2022/10/11 14:15:48.979887753,"{'stamp': {'secs': 1665490548, 'nsecs': 976809584}, 'frame_id': 'map'}","{'position': {'x': -0.018112363293766975, 'y': -0.009506247006356716, 'z': -0.06635861098766327}, 'orientation': {'x': 0.006468885994636852, 'y': -0.002516043049732813, 'z': 0.010228660811957446, 'w': -0.9999236549430757}}"
2022/10/11 14:15:49.33413131,"{'stamp': {'secs': 1665490549, 'nsecs': 19575177}, 'frame_id': 'map'}","{'position': {'x': -0.017593810334801674, 'y': -0.009406082332134247, 'z': -0.0667617991566658}, 'orientation': {'x': 0.006505024776965293, 'y': -0.002516894712417762, 'z': 0.010250703613728651, 'w': -0.9999231913277422}}"
2022/10/11 14:15:49.59105975,"{'stamp': {'secs': 1665490549, 'nsecs': 51021040}, 'frame_id': 'map'}","{'position': {'x': -0.01728077232837677, 'y': -0.009352460503578186, 'z': -0.06728589534759521}, 'orientation': {'x': 0.006494871173105089, 'y': -0.0025241000125157268, 'z': 0.010250366438940561, 'w': -0.9999231913277422}}"
2022/10/11 14:15:49.97356827,"{'stamp': {'secs': 1665490549, 'nsecs': 89083692}, 'frame_id': 'map'}","{'position': {'x': -0.017149662598967552, 'y': -0.009323966689407825, 'z': -0.06831095367670059}, 'orientation': {'x': 0.006515967152509934, 'y': -0.002549819962183374, 'z': 0.010254707564337218, 'w': -0.9999229805934995}}"
2022/10/11 14:15:49.124863112,"{'stamp': {'secs': 1665490549, 'nsecs': 122120573}, 'frame_id': 'map'}","{'position': {'x': -0.01721869595348835, 'y': -0.009341005235910416, 'z': -0.06928685307502747}, 'orientation': {'x': 0.0065111340943658485, 'y': -0.0025924574263527147, 'z': 0.01032264828413676, 'w': -0.9999222219502264}}"
2022/10/11 14:15:49.189738950,"{'stamp': {'secs': 1665490549, 'nsecs': 157246174}, 'frame_id': 'map'}","{'position': {'x': -0.017440233379602432, 'y': -0.009380048140883446, 'z': -0.07052217423915863}, 'orientation': {'x': 0.00651015697895213, 'y': -0.0025980081333743742, 'z': 0.010293145490179068, 'w': -0.9999224748313175}}"
2022/10/11 14:15:49.205576209,"{'stamp': {'secs': 1665490549, 'nsecs': 191743370}, 'frame_id': 'map'}","{'position': {'x': -0.01781686395406723, 'y': -0.009439104236662388, 'z': -0.07156688719987869}, 'orientation': {'x': 0.0065113249076370365, 'y': -0.002584815181973702, 'z': 0.010335503072932573, 'w': -0.9999220955096808}}"
2022/10/11 14:15:49.227208505,"{'stamp': {'secs': 1665490549, 'nsecs': 222741454}, 'frame_id': 'map'}","{'position': {'x': -0.018322916701436043, 'y': -0.009526247158646584, 'z': -0.07287903130054474}, 'orientation': {'x': 0.006527104786501191, 'y': -0.0025531795269908473, 'z': 0.01034835786172833, 'w': -0.9999218847754383}}"
2022/10/11 14:15:49.265139222,"{'stamp': {'secs': 1665490549, 'nsecs': 252782271}, 'frame_id': 'map'}","{'position': {'x': -0.01844652369618416, 'y': -0.009402453899383545, 'z': -0.07378609478473663}, 'orientation': {'x': 0.006529827703405573, 'y': -0.0025622478495018965, 'z': 0.010341656512815156, 'w': -0.9999219269222868}}"
2022/10/11 14:15:49.301614711,"{'stamp': {'secs': 1665490549, 'nsecs': 287487523}, 'frame_id': 'map'}","{'position': {'x': -0.017045482993125916, 'y': -0.00848713330924511, 'z': -0.07364687323570251}, 'orientation': {'x': 0.006521060171098545, 'y': -0.0025596107080196797, 'z': 0.010369937048166022, 'w': -0.9999217161880443}}"
2022/10/11 14:15:49.324302443,"{'stamp': {'secs': 1665490549, 'nsecs': 319504971}, 'frame_id': 'map'}","{'position': {'x': -0.016208598390221596, 'y': -0.007858754135668278, 'z': -0.07376152276992798}, 'orientation': {'x': 0.006529617627707527, 'y': -0.0025705257539672386, 'z': 0.010339296289298527, 'w': -0.9999219269222868}}"
2022/10/11 14:15:49.355064202,"{'stamp': {'secs': 1665490549, 'nsecs': 350252104}, 'frame_id': 'map'}","{'position': {'x': -0.015591462142765522, 'y': -0.007297313306480646, 'z': -0.07414897531270981}, 'orientation': {'x': 0.006545775346483136, 'y': -0.0025716778775839544, 'z': 0.010362013440645912, 'w': -0.9999216318943472}}"
2022/10/11 14:15:49.386929835,"{'stamp': {'secs': 1665490549, 'nsecs': 385268608}, 'frame_id': 'map'}","{'position': {'x': -0.015161619521677494, 'y': -0.006825300864875317, 'z': -0.0746457502245903}, 'orientation': {'x': 0.006539471923088853, 'y': -0.0025914017795064183, 'z': 0.010369979195014534, 'w': -0.9999215054538017}}"
